ID	Pop	FT_2020	FT_2021	Cold_Day_1	Cold_Day_2	Cold_Day_3	Cold_Day_4	Cold_Day_5	Room_Day_1	Room_Day_2	Room_Day_3	Room_Day_4	Room_Day_5	Cold_Day_1.Ro	Cold_Day_2.Ro	Cold_Day_3.Ro	Cold_Day_4.Ro	Cold_Day_5.Ro	cold_dec	room_dec
NSL5634	Landrace	52.5	57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames22041	Inbred	45.5	49	17	12.95	14.6	14.75	16	18.7	15.4	12.75	14.3	15.45	0.909090909	0.840909091	1.145098039	1.031468531	1.035598706	0.058823529	0.173796791
PI415243PI516128	Hybrid	47	57	15.25	13.95	13.5	13.35	13.45	14.1	12.2	11.4	10.75	10.1	1.081560284	1.143442623	1.184210526	1.241860465	1.331683168	0.118032787	0.283687943
Ames27118	Inbred	58.5	56.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A22062A22064	Hybrid	57.5	57	16.15	16.75	15.25	15.7	14.9	15.65	15.75	18.45	15.9	15.15	1.031948882	1.063492063	0.826558266	0.987421384	0.98349835	0.077399381	0.031948882
NSL5613	Landrace	56	58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI358530	Inbred	50.5	57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A22028A22027	Hybrid	62	54.5	16.3	17.35	23.45	19.05	18.45	21.65	20.85	18.5	17.45	15.9	0.752886836	0.832134293	1.267567568	1.091690544	1.160377358	-0.13190184	0.265588915
NSL5637	Landrace	48.5	48	14.9	14.05	12.4	14.9	17.05	17.1	14.7	12.7	13.45	15.05	0.871345029	0.955782313	0.976377953	1.107806691	1.132890365	-0.144295302	0.119883041
PI183742	Landrace	49.5	54	9.7	9.55	9.25	9.1	10.2	11.4	12.8	13.55	13.15	14.65	0.850877193	0.74609375	0.682656827	0.692015209	0.696245734	-0.051546392	-0.285087719
Ames22024	Inbred	51	60	16.6	15.05	13.75	14.35	15	14.85	12.25	10.5	11.8	13	1.117845118	1.228571429	1.30952381	1.216101695	1.153846154	0.096385542	0.124579125
