id	order	HN-EW	HN-CW	HN-X20KW
BGEM-0001-N	1	53.35601509	43.93728442	5.716511568
BGEM-0002-N	2	55.46490322	43.18072664	5.225159779
BGEM-0003-N	3	45.25620364	40.94518033	5.157641719
BGEM-0004-N	4	51.78222296	41.62720086	4.431678937
BGEM-0005-N	5	77.08981875	46.58281155	5.250918353
BGEM-0006-S	6	74.66137911	46.26410296	4.900333174
BGEM-0007-S	7	54.70739748	43.70857282	5.127443416
BGEM-0008-S	8	61.56077592	42.51722653	5.254732553
BGEM-0010-S	9	63.77416374	45.24367351	4.75680756
BGEM-0011-S	10	69.62101541	44.82657406	4.963972303
BGEM-0012-S	11	61.44014295	44.39203981	4.777793481
BGEM-0013-S	12	64.04554791	43.86193998	4.935764973
BGEM-0014-S	13	47.37808034	42.56919748	3.724832641
BGEM-0015-S	14	52.8114048	44.35780966	4.357712689
BGEM-0018-S	15	70.75783259	44.41205816	5.410792654
BGEM-0019-S	16	72.81737049	46.40782493	5.224614013
BGEM-0020-S	17	NA	NA	NA
BGEM-0021-S	18	67.93741142	44.94836178	5.212500166
BGEM-0023-S	19	74.14379399	45.97739661	5.822863324
BGEM-0024-S	20	53.63359814	42.82396683	4.343053473
BGEM-0025-S	21	64.93700756	46.03662562	5.16912324
BGEM-0026-S	22	57.1172856	43.51566496	4.544051786
BGEM-0027-S	23	58.43026382	43.79488064	4.805514686
BGEM-0028-S	24	53.38516365	42.17685909	4.582221457
BGEM-0030-S	25	59.66790931	43.34965314	4.670289073
BGEM-0031-S	26	64.80875228	42.72292015	5.00066208
BGEM-0032-S	27	86.40182545	52.10198849	4.850599096
BGEM-0033-S	28	42.92826194	40.91780226	4.972179981
BGEM-0034-S	29	51.49092605	43.10073279	3.869240611
BGEM-0035-S	30	52.54919661	42.92693851	4.338948068
BGEM-0036-S	31	57.40523143	43.7470193	4.444999308
BGEM-0037-S	32	56.28823681	42.95915547	4.778475087
BGEM-0038-N	33	49.42987053	42.6282109	4.441553343
BGEM-0039-N	34	58.19045226	44.7360278	4.057523619
BGEM-0040-N	35	59.4517433	44.3237359	4.005717846
BGEM-0041-S	36	63.43046003	44.45464584	5.485358242
BGEM-0042-S	37	61.77366557	45.07179382	4.702143971
BGEM-0043-S	38	53.37914221	42.04347987	5.322761262
BGEM-0044-S	39	77.12960219	47.42282032	5.328826403
BGEM-0045-N	40	58.76974902	43.48332631	4.632712561
BGEM-0046-N	41	68.64271603	44.80179632	5.178794344
BGEM-0047-S	42	57.54989807	43.77689506	4.13451072
BGEM-0048-S	43	51.3893828	42.09623035	4.016965885
BGEM-0049-S	44	53.35728457	42.18935246	4.609529844
BGEM-0050-S	45	55.88916109	41.69976444	5.535777182
BGEM-0051-S	46	63.28568507	44.39863903	4.972945421
BGEM-0052-S	47	46.44218452	42.8561997	4.775279987
BGEM-0055-S	48	57.71450551	42.76268571	4.627264936
BGEM-0056-S	49	80.78390965	48.89785746	4.778037902
BGEM-0057-S	50	65.8415679	43.9373803	4.492438166
BGEM-0059-S	51	51.63139478	43.19811146	4.43008619
BGEM-0060-S	52	61.54755408	44.44310438	4.832177908
BGEM-0061-N	53	67.8372262	44.91775875	5.080998901
BGEM-0062-N	54	88.8130724	46.31861711	5.171832212
BGEM-0063-N	55	55.09948822	42.54908974	4.259978668
BGEM-0064-N	56	59.89746589	44.30509771	4.949847475
BGEM-0065-N	57	49.15602621	43.73792236	5.036259548
BGEM-0066-N	58	53.93336485	42.42279657	5.237531491
BGEM-0067-S	59	59.55380689	44.32249939	4.944274573
BGEM-0068-S	60	56.89549968	43.89519212	4.673192887
BGEM-0069-S	61	61.24429624	42.97008515	4.640329351
BGEM-0070-S	62	53.39390465	42.10765382	5.035085404
BGEM-0071-S	63	43.66837933	40.35643669	4.216704676
BGEM-0072-S	64	47.17854248	41.4783977	3.928325381
BGEM-0073-S	65	46.92333583	40.75302999	4.858721056
BGEM-0074-S	66	63.61660581	43.69969966	4.385346837
BGEM-0077-S	67	59.46075336	43.95140459	5.346561496
BGEM-0078-N	68	50.68648103	43.31029917	4.288580542
BGEM-0079-S	69	59.21063505	43.17817999	5.180308851
BGEM-0080-S	70	62.05191937	42.44657779	5.273921902
BGEM-0081-S	71	60.23077087	41.77175463	5.282041893
BGEM-0082-S	72	57.86404813	44.57472769	4.183618005
BGEM-0083-S	73	48.6184207	41.93064495	5.062478153
BGEM-0085-N	74	53.14667128	42.42595266	4.675236208
BGEM-0086-N	75	59.31056847	43.58081053	4.687571008
BGEM-0087-N	76	60.07408107	43.48370082	4.614268907
BGEM-0088-N	77	46.28219642	40.79713518	3.983032859
BGEM-0089-N	78	49.42119663	41.62524211	4.476035624
BGEM-0090-N	79	52.63788415	42.02906077	4.845362333
BGEM-0094-S	80	52.40312711	42.35803011	4.471387052
BGEM-0095-S	81	74.96183762	44.01178551	5.114722387
BGEM-0097-S	82	58.15569173	44.12242179	4.989328106
BGEM-0099-S	83	54.99347568	44.19448978	3.731213509
BGEM-0102-N	84	52.90253014	43.05090049	5.245346205
BGEM-0107-N	85	74.13283332	47.28719016	5.058244628
BGEM-0108-S	86	69.22307899	45.07611667	5.902493551
BGEM-0110-N	87	60.53233344	43.93146202	4.879994878
BGEM-0111-S	88	61.34775738	43.47595638	5.157891574
BGEM-0112-S	89	60.12143095	43.06816729	4.951822977
BGEM-0113-S	90	56.44620807	42.82480579	4.687219947
BGEM-0114-S	91	59.31076355	42.72994196	4.856170841
BGEM-0115-S	92	63.85132176	43.44602373	4.950207121
BGEM-0116-S	93	60.33430079	42.59916442	5.035505395
BGEM-0117-S	94	64.64844613	44.14743946	4.895154113
BGEM-0118-S	95	61.14821952	42.79438663	5.039402131
BGEM-0120-N	96	52.88862348	44.15081358	4.877479723
BGEM-0122-N	97	54.33834572	42.51212545	4.643015991
BGEM-0123-N	98	40.96127823	42.79251608	5.17753383
BGEM-0124-N	99	53.96225082	42.60388813	4.852180413
BGEM-0125-N	100	60.91755552	45.06924717	4.343038433
BGEM-0126-N	101	52.84924669	43.89548541	5.175911049
BGEM-0129-N	102	57.24851276	43.06146297	4.237545018
BGEM-0130-N	103	51.94519033	42.75929645	4.170396409
BGEM-0131-N	104	45.55603214	43.13223095	4.88712837
BGEM-0133-S	105	64.87045766	43.72276871	4.888833532
BGEM-0134-S	106	52.97608445	41.86362476	4.617464225
BGEM-0136-S	107	55.81540762	43.56224892	4.175195967
BGEM-0137-S	108	89.22052079	48.19160286	5.15558262
BGEM-0138-S	109	66.63722398	43.90731532	5.298944271
BGEM-0140-N	110	67.70603775	44.95925911	4.923961484
BGEM-0141-N	111	47.86288189	43.21279441	4.852514111
BGEM-0143-N	112	67.56961772	44.9025113	4.550413924
BGEM-0144-N	113	56.62515315	43.86112187	4.948019506
BGEM-0145-N	114	54.52703493	43.34817159	4.648858545
BGEM-0146-N	115	58.64933637	43.56965466	5.238933838
BGEM-0148-S	116	57.48279965	43.19472407	5.326150046
BGEM-0149-S	117	69.58464592	43.59499035	4.720796334
BGEM-0150-S	118	59.8078661	44.18772052	4.813359
BGEM-0151-N	119	73.0853724	45.34075119	5.916138279
BGEM-0152-N	120	66.4630452	45.53899715	5.115795674
BGEM-0153-S	121	52.14833394	42.85122302	4.996424049
BGEM-0154-S	122	46.52999278	42.54222024	5.026522844
BGEM-0155-S	123	68.81482423	46.1827015	4.631749446
BGEM-0156-S	124	43.53292099	41.45389935	5.11000257
BGEM-0157-N	125	51.3378568	43.30536931	3.855931156
BGEM-0158-S	126	57.87904079	43.1759129	4.650510679
BGEM-0160-S	127	51.15788959	41.25542574	4.393109428
BGEM-0162-S	128	70.00230761	44.77907636	4.659985643
BGEM-0164-S	129	74.51252902	46.4846808	5.604900487
BGEM-0165-S	130	60.66086354	43.47617792	5.267590325
BGEM-0166-S	131	47.55088902	41.71464807	4.956724836
BGEM-0167-S	132	65.28257367	44.07787449	4.540824422
BGEM-0170-S	133	67.25541714	43.59137131	5.046130781
BGEM-0172-S	134	50.60007694	44.47406892	4.333367329
BGEM-0173-S	135	55.23497375	41.96639152	4.7773882
BGEM-0174-N	136	64.67593543	45.55720554	4.85995164
BGEM-0175-S	137	71.25114764	45.69215637	5.368581488
BGEM-0178-S	138	85.05193992	47.27045404	5.66585108
BGEM-0179-S	139	72.80236479	45.30495786	6.468869911
BGEM-0182-N	140	71.11584088	45.77920616	4.904154967
BGEM-0184-N	141	58.51997347	43.14750027	4.619212762
BGEM-0186-S	142	65.64921784	44.04671036	5.004241224
BGEM-0187-S	143	61.20184056	43.66342127	4.840196929
BGEM-0188-S	144	72.52473818	44.08340762	4.983129914
BGEM-0190-N	145	63.37786192	44.99693745	4.97058723
BGEM-0191-N	146	49.58384546	42.63674139	4.404742271
BGEM-0192-N	147	47.92072179	41.60710223	4.093373504
BGEM-0193-N	148	42.96359677	41.73049853	3.805316548
BGEM-0196-N	149	45.18495582	43.61015933	4.484039714
BGEM-0197-S	150	60.21941294	45.64596276	4.339401225
BGEM-0198-S	151	52.15716877	42.21226033	4.382114445
BGEM-0199-S	152	56.42735585	43.31593559	4.001562751
BGEM-0200-S	153	51.56219148	41.35767749	5.187037501
BGEM-0201-N	154	61.75935373	46.44531001	4.570772935
